   1010204,         1,         2,         1,        -1,         1,        -1,        -1,3.092800e+00
   1010205,         1,         2,         1,        -1,         1,        -1,        -1,3.305900e+00
   1010206,         1,         2,         1,        -1,         1,        -1,        -1,3.632500e+00
   1010207,         1,         2,         1,        -1,         1,        -1,        -1,3.779900e+00
   1010208,         1,         2,         1,        -1,         1,        -1,        -1,3.519100e+00
   1010209,         1,         2,         1,        -1,         1,        -1,        -1,3.609800e+00
   1010210,         1,         2,         1,        -1,         1,        -1,        -1,3.564400e+00
   1010211,         1,         2,         1,        -1,         1,        -1,        -1,2.786700e+00
   1010212,         1,         2,         1,        -1,         1,        -1,        -1,3.764000e+00
   1010213,         1,         2,         1,        -1,         1,        -1,        -1,3.326300e+00
   1010214,         1,         2,         1,        -1,         1,        -1,        -1,3.024800e+00
   1010215,         1,         2,         1,        -1,         1,        -1,        -1,2.510000e+00
   1010216,         1,         2,         1,        -1,         1,        -1,        -1,2.605300e+00
   1010217,         1,         2,         1,        -1,         1,        -1,        -1,4.047400e+00
   1010218,         1,         2,         1,        -1,         1,        -1,        -1,1.983900e+00
   1010219,         1,         2,         1,        -1,         1,        -1,        -1,2.816100e+00
   1010220,         1,         2,         1,        -1,         1,        -1,        -1,3.305900e+00
   1010221,         1,         2,         1,        -1,         1,        -1,        -1,2.993000e+00
   1010222,         1,         2,         1,        -1,         1,        -1,        -1,2.807100e+00
   1010223,         1,         2,         1,        -1,         1,        -1,        -1,2.355800e+00
   1010224,         1,         2,         1,        -1,         1,        -1,        -1,6.546300e+00
   1010225,         1,         2,         1,        -1,         1,        -1,        -1,5.913700e+00
   1010301,         1,         3,         1,        -1,         1,        -1,        -1,6.736800e+00
   1010302,         1,         3,         1,        -1,         1,        -1,        -1,3.183500e+00
   1010303,         1,         3,         1,        -1,         1,        -1,        -1,5.168000e-01
   1010304,         1,         3,         1,        -1,         1,        -1,        -1,5.274200e+00
   1010305,         1,         3,         1,        -1,         1,        -1,        -1,6.435200e+00
   1010306,         1,         3,         1,        -1,         1,        -1,        -1,5.378500e+00
   1010307,         1,         3,         1,        -1,         1,        -1,        -1,2.993000e+00
   1010308,         1,         3,         1,        -1,         1,        -1,        -1,3.135900e+00
   1010309,         1,         3,         1,        -1,         1,        -1,        -1,6.709600e+00
   1010310,         1,         3,         1,        -1,         1,        -1,        -1,3.646100e+00
   1010311,         1,         3,         1,        -1,         1,        -1,        -1,3.378500e+00
   1010312,         1,         3,         1,        -1,         1,        -1,        -1,2.827500e+00
   1010313,         1,         3,         1,        -1,         1,        -1,        -1,3.154000e+00
   1010314,         1,         3,         1,        -1,         1,        -1,        -1,4.251500e+00
   1010315,         1,         3,         1,        -1,         1,        -1,        -1,3.233400e+00
   1010316,         1,         3,         1,        -1,         1,        -1,        -1,2.732200e+00
   1010317,         1,         3,         1,        -1,         1,        -1,        -1,2.784400e+00
   1010318,         1,         3,         1,        -1,         1,        -1,        -1,2.811600e+00
